JGI_Portal_ID,Species,Order,Class,Clade,Phylum,Pathogen,Lifestyle,Lifestyle_2,Unknown_Lifestyle,S,N,B,OB,HB,MP,P,O,ECM,ENM,Mycorrhizal,E,EP,L,LF,EL,C,PY,BY,T,A,AL,HY,BR,WR,Wood_Decay,FUNGuild,Plant,Fungus,Vertebrate,Invertebrate,Gymnosperms,Angiosperms,Main_Stem,Leaves,Roots,Fruit,Seeds,MycoCosm Genome Reference Paper
Aciaci1,Acidothrix acidophila CBS 136259 v1.0,Amplistromatales,Sordariomycetes,Pezizomycotina,Ascomycota,UNKNOWN,"S, A",S  A,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,Saprotroph – Soil Saprotroph,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,"1. Hujslová, M., Kubátová, A., Kostovčík, M., Blanchette, R.A., Wilhelm De Beer, Z., Chudíčková, M., and Kolařík, M. (2014). Three new genera of fungi from extremely acidic soils. Mycol. Prog. 13, 819–831. Available at: https://search-proquest-com.ezproxy.library.ubc.ca/docview/1547815591?pq-origsite=360link&accountid=14656 [Accessed July 2, 2019]."
Acrchr1,Acremonium chrysogenum ATCC 11550,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,UNKNOWN,UNKNOWN,UNKNOWN,Unknown,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,None,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,"1. Terfehr, D., Dahlmann, T.A., Specht, T., Zadra, I., Kürnsteiner, H., and Kück, U. (2014). Genome Sequence and Annotation of Acremonium chrysogenum, Producer of the-Lactam Antibiotic Cephalosporin C. Genome Announc. 2, e00948-14. Available at: http://dx.doi.org/10.1093/nar/gki458. [Accessed July 2, 2019]."
Beaba1,Beauveria bassiana ARSEF 2860,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"E, P",E  P,Known,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Pathotroph – Animal Pathogen,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,"Xiao G, Ying SH, Zheng P, Wang ZL, Zhang S, Xie XQ, Shang Y, St Leger RJ, Zhao GP, Wang C, Feng MG Genomic perspectives on the evolution of fungal entomopathogenicity in Beauveria bassiana. Sci Rep. 2012;2:483. doi: 10.1038/srep00483. Epub 2012 Jul 2."
Chagl_1,Chaetomium globosum v1.0,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, E, O, T",S  E  O  T,Known,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,Pathotroph-Saprotroph-Symbiotroph – Dung Saprotroph-Endophyte-Wood Saprotroph,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,"Cuomo CA, Untereiner WA, Ma LJ, Grabherr M, Birren BW Draft Genome Sequence of the Cellulolytic Fungus Chaetomium globosum. Genome Announc. 2015 Feb 26;3(1). pii: 3/1/e00021-15. doi: 10.1128/genomeA.00021-15. 
Berka RM, Grigoriev IV, Otillar R, Salamov A, Grimwood J, Reid I, Ishmael N, John T, Darmond C, Moisan MC, Henrissat B, Coutinho PM, Lombard V, Natvig DO, Lindquist E, Schmutz J, Lucas S, Harris P, Powlowski J, Bellemare A, Taylor D, Butler G, de Vries RP, Allijn IE, van den Brink J, Ushinsky S, Storms R, Powell AJ, Paulsen IT, Elbourne LD, Baker SE, Magnuson J, Laboissiere S, Clutterbuck AJ, Martinez D, Wogulis M, de Leon AL, Rey MW, Tsang A Comparative genomic analysis of the thermophilic biomass-degrading fungi Myceliophthora thermophila and Thielavia terrestris. Nat Biotechnol. 2011 Oct 2;29(10):922-7. doi: 10.1038/nbt.1976."
Colch1,Colletotrichum chlorophyti NTL11,Glomerallales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,HB,HB,Known,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,None,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,"1. Gan, P., Narusaka, M., Tsushima, A., Narusaka, Y., Takano, Y., and Shirasu, K. (2017). Draft Genome Assembly of Colletotrichum chlorophyti, a Pathogen of Herbaceous Plants. Genome Announc. 5, e01733-16. Available at: http://www.ncbi.nlm.nih.gov/pubmed/28280027 [Accessed June 26, 2019]."
Colfi1,Colletotrichum fioriniae PJ7,Glomerallales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"E, HB",E  HB,Known,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,None,YES,NO,NO,YES,NO,YES,YES,YES,NO,YES,,"1. Baroncelli, R., Sreenivasaprasad, S., Sukno, S.A., Thon, M.R., and Holub, E. (2014). Draft Genome Sequence of Colletotrichum acutatum Sensu Lato (Colletotrichum fioriniae). Genome Announc. 2, e00112-14. Available at: http://dx.doi.org/10.3852/07-174R. [Accessed June 28, 2019]."
Colgr1,Colletotrichum graminicola M1.001,Glomerallales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"E, HB",E  HB,Known,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Pathotroph – Plant Pathogen,YES,NO,NO,NO,NO,YES,YES,YES,YES,,,"1. O’Connell, R.J., Thon, M.R., Hacquard, S., Amyotte, S.G., Kleemann, J., Torres, M.F., Damm, U., Buiate, E.A., Epstein, L., Alkan, N., et al. (2012). Lifestyle transitions in plant pathogenic Colletotrichum fungi deciphered by genome and transcriptome analyses. Nat. Genet. 44, 1060–1065. Available at: http://www.nature.com/articles/ng.2372 [Accessed June 28, 2019]."
Colhig2,Colletotrichum higginsianum IMI 349063,Glomerallales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,HB,HB,Known,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Pathotroph – Plant Pathogen,YES,NO,NO,NO,NO,YES,YES,YES,NO,,,"1. Zampounis, A., Pigné, S., Dallery, J.-F., Wittenberg, A.H.J., Zhou, S., Schwartz, D.C., Thon, M.R., and O’Connell, R.J. (2016). Genome Sequence and Annotation of Colletotrichum higginsianum, a Causal Agent of Crucifer Anthracnose Disease. Genome Announc. 4, e00821-16. Available at: http://www.ncbi.nlm.nih.gov/pubmed/27540062 [Accessed June 28, 2019].
2. O’Connell, R.J., Thon, M.R., Hacquard, S., Amyotte, S.G., Kleemann, J., Torres, M.F., Damm, U., Buiate, E.A., Epstein, L., Alkan, N., et al. (2012). Lifestyle transitions in plant pathogenic Colletotrichum fungi deciphered by genome and transcriptome analyses. Nat. Genet. 44, 1060–1065. Available at: http://www.nature.com/articles/ng.2372 [Accessed June 28, 2019]."
Colin1,Colletotrichum incanum MAFF 238712,Glomerallales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,HB,HB,Known,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,None,YES,NO,NO,NO,NO,YES,YES,YES,NO,,,"1. Gan, P., Narusaka, M., Kumakura, N., Tsushima, A., Takano, Y., Narusaka, Y., and Shirasu, K. (2016). Genus-Wide Comparative Genome Analyses of Colletotrichum Species Reveal Specific Gene Family Losses and Gains during Adaptation to Specific Infection Lifestyles. Genome Biol. Evol. 8, 1467–1481. Available at: https://academic.oup.com/gbe/article-lookup/doi/10.1093/gbe/evw089 [Accessed July 1, 2019]."
Colny1,Colletotrichum nymphaeae SA-01,Glomerallales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,HB,HB,Known,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,None,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,NO,"1. Baroncelli, R., Amby, D.B., Zapparata, A., Sarrocco, S., Vannacci, G., Le Floch, G., Harrison, R.J., Holub, E., Sukno, S.A., Sreenivasaprasad, S., et al. (2016). Gene family expansions and contractions are associated with host range in plant pathogens of the genus Colletotrichum. BMC Genomics 17, 555. Available at: http://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-016-2917-6 [Accessed July 1, 2019]."
