Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
1313,"1313.19046","Streptococcus pneumoniae strain GPSC36","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1352,"1352.3423","Enterococcus faecium strain CVM N60357F","tetracycline",,"<=1","<=","1","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1313,"1313.20649","Streptococcus pneumoniae strain GPSC2","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.18619","Streptococcus pneumoniae strain GPSC17","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.5635","Streptococcus pneumoniae strain R34-3217","tetracycline",,"<=0.50","<=","0.50","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1280,"1280.9793","Staphylococcus aureus C00003189","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.21043","Streptococcus pneumoniae strain GPSC9","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1352,"1352.3513","Enterococcus faecium strain CVM N54150","tetracycline",,"<=1","<=","1","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1351,"1351.824","Enterococcus faecalis strain CVM N52662","tetracycline",,"<=1","<=","1","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1313,"1313.9128","Streptococcus pneumoniae strain 2245STDY5699075","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.17179","Streptococcus pneumoniae strain 14","tetracycline","Susceptible","0.25","<=","0.25","mg/L","MIC",,"Trek sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1313,"1313.20848","Streptococcus pneumoniae strain GPSC9","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.5665","Streptococcus pneumoniae strain SN1157","tetracycline",,"32",,"32","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.20638","Streptococcus pneumoniae strain GPSC1","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8310","Staphylococcus aureus C00013365","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.7935","Staphylococcus aureus C00001136","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.17448","Streptococcus pneumoniae strain SC15-2565-P","tetracycline","Susceptible","1","<=","1","mg/L","MIC",,"Sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1280,"1280.9423","Staphylococcus aureus C00000862","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.8567","Staphylococcus aureus C00000847","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.6867","Streptococcus pneumoniae strain 0107+17127","tetracycline","Resistant",,,,,"MIC",,,,,,,,,"Laboratory Method",,"24957517"
1313,"1313.20504","Streptococcus pneumoniae strain GPSC44","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.6190","Streptococcus pneumoniae strain R34-3208","tetracycline",,"<=0.50","<=","0.50","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1313,"1313.20385","Streptococcus pneumoniae strain GPSC8","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9246","Staphylococcus aureus 070_03","tetracycline","Resistant",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1280,"1280.8734","Staphylococcus aureus C00002649","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.9281","Staphylococcus aureus 263_04","tetracycline","Resistant",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1280,"1280.9294","Staphylococcus aureus 363_07","tetracycline","Susceptible",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1313,"1313.9306","Streptococcus pneumoniae strain 2245STDY5699265","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.5927","Streptococcus pneumoniae strain 147587","tetracycline",,"0.25",,"0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1313,"1313.17197","Streptococcus pneumoniae strain 156","tetracycline","Susceptible","0.25","<=","0.25","mg/L","MIC",,"Trek sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1313,"1313.5537","Streptococcus pneumoniae strain R34-3156","tetracycline",,"<=0.50","<=","0.50","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1313,"1313.21078","Streptococcus pneumoniae strain GPSC37","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8445","Staphylococcus aureus C00003348","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.8508","Staphylococcus aureus C00001405","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.9310","Staphylococcus aureus CGH3_05","tetracycline","Susceptible",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1313,"1313.8644","Streptococcus pneumoniae strain 2245STDY5609144","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1351,"1351.781","Enterococcus faecalis strain CVM N60027F","tetracycline",,">32",">","32","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1280,"1280.9700","Staphylococcus aureus C00001197","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.18707","Streptococcus pneumoniae strain GPSC8","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.7980","Staphylococcus aureus C00001195","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.8562","Staphylococcus aureus C00009033","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.9189","Staphylococcus aureus 002_00","tetracycline","Resistant",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1313,"1313.18965","Streptococcus pneumoniae strain GPSC11","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8638","Staphylococcus aureus C00008635","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.7391","Staphylococcus aureus C00003361","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.17335","Streptococcus pneumoniae strain SC10-2828-P","tetracycline","Susceptible","1","<=","1","mg/L","MIC",,"Sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1313,"1313.18985","Streptococcus pneumoniae strain GPSC14","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19850","Streptococcus pneumoniae strain GPSC10","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19016","Streptococcus pneumoniae strain GPSC228","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.5569","Streptococcus pneumoniae strain 08B05402","tetracycline","Resistant",,,,,"MIC",,,,,,,,,"Laboratory Method",,
1280,"1280.9861","Staphylococcus aureus C00003363","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.6768","Streptococcus pneumoniae strain 09B09593","tetracycline","Resistant",,,,,"MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.9196","Streptococcus pneumoniae strain 2245STDY5699163","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
760766,"760766.3","Streptococcus pneumoniae GA11856","tetracycline","Susceptible","<=2","<=","2",,,,,,,,,,,"Laboratory Method",,
1313,"1313.20937","Streptococcus pneumoniae strain GPSC55","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9687","Staphylococcus aureus C00013375","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.8314","Staphylococcus aureus C00013370","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1349,"1349.221","Streptococcus uberis PE70","tetracycline",,"8",,"8","mg/L","MIC",,"Sensititre microdilution system and mastitis plate","Sensititre",,,,,,"Laboratory Method",,
1313,"1313.20164","Streptococcus pneumoniae strain GPSC38","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.20740","Streptococcus pneumoniae strain GPSC41","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8088","Staphylococcus aureus C00012756","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.6869","Streptococcus pneumoniae strain R34-3202","tetracycline",,"<=0.50","<=","0.50","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1313,"1313.17247","Streptococcus pneumoniae strain 37","tetracycline","Susceptible","0.25","<=","0.25","mg/L","MIC",,"Trek sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1280,"1280.9283","Staphylococcus aureus 268_04","tetracycline","Resistant",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1313,"1313.5424","Streptococcus pneumoniae strain 422264","tetracycline",,"0.25",,"0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1313,"1313.21100","Streptococcus pneumoniae strain GPSC3","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.21016","Streptococcus pneumoniae strain GPSC11","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.8707","Streptococcus pneumoniae strain 2245STDY5609066","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19271","Streptococcus pneumoniae strain GPSC24","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.9433","Streptococcus pneumoniae strain 2245STDY5819568","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8831","Staphylococcus aureus C00001241","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.8389","Staphylococcus aureus C00000831","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.20230","Streptococcus pneumoniae strain GPSC116","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8008","Staphylococcus aureus C00001226","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.9932","Streptococcus pneumoniae strain SI_M1","tetracycline",,"8",,"8","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.9731","Streptococcus pneumoniae strain 11934","tetracycline",,"1",,"1","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.20551","Streptococcus pneumoniae strain GPSC20","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.8648","Streptococcus pneumoniae strain 2245STDY5819545","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9375","Staphylococcus aureus WAU_18","tetracycline","Resistant",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1313,"1313.6558","Streptococcus pneumoniae strain 101058","tetracycline",,"0.25",,"0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1280,"1280.8366","Staphylococcus aureus C00007101","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.8385","Staphylococcus aureus C00000837","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1351,"1351.805","Enterococcus faecalis strain CVM N59591F","tetracycline",,"=16","=","16","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1351,"1351.818","Enterococcus faecalis strain CVM N59455F","tetracycline",,">32",">","32","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1280,"1280.9309","Staphylococcus aureus CGH2_09","tetracycline","Susceptible",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1313,"1313.20446","Streptococcus pneumoniae strain GPSC57","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.17202","Streptococcus pneumoniae strain 16","tetracycline","Susceptible","0.25","<=","0.25","mg/L","MIC",,"Trek sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1280,"1280.9959","Staphylococcus aureus C00012816","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.9931","Streptococcus pneumoniae strain SB6","tetracycline",,"0.125",,"0.125","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.6569","Streptococcus pneumoniae strain R34-3112","tetracycline",,"<=0.50","<=","0.50","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1313,"1313.20337","Streptococcus pneumoniae strain GPSC134","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8561","Staphylococcus aureus C00009030","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.18670","Streptococcus pneumoniae strain GPSC39","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.6001","Streptococcus pneumoniae strain 09B05541","tetracycline","Resistant",,,,,"MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.18744","Streptococcus pneumoniae strain GPSC16","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8513","Staphylococcus aureus C00001402","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.19123","Streptococcus pneumoniae strain GPSC13","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.9941","Streptococcus pneumoniae strain UR_112","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,
1313,"1313.20597","Streptococcus pneumoniae strain GPSC50","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19447","Streptococcus pneumoniae strain GPSC18","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.20665","Streptococcus pneumoniae strain GPSC8","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.9767","Streptococcus pneumoniae strain 35_HIM","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,
1313,"1313.19441","Streptococcus pneumoniae strain GPSC1","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.6514","Streptococcus pneumoniae strain R34-3080","tetracycline",,"<=0.50","<=","0.50","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
