JGI_Abbreviation,Species,Order,Class,Clade,Phylum,Pathogenic,Lifestyle,S,N,B,OB,HB,MP,P,O,ECM,ENM,E,EP,L,LF,EL,C,PY,BY,T,A,AL,HY,BR,WR,Plant,Fungus,Vertebrate,Invertebrate,Gymnosperms,Angiosperms,Main Stem,Leaves,Roots
Aciri1_iso,Acidomyces richmondensis BFW,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota,NO, S  A  T ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Altal1,Alternaria alternata SRC1lrK2f v1.0,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,YES, S  E  N  O ,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES
Altbr1,Alternaria brassicicola,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,YES, S  N ,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,NO
Amnli1,Amniculicola lignicola CBS 123094 v1.0,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ampqui1,Ampelomyces quisqualis HMLAC05119 v1.0,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,YES, S  MP ,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Aulhe2,Aulographum hederae v2.0,Asterinales,Dothideomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Aurpu_var_mel1,Aureobasidium pullulans var. melanogenum CBS 110374,Dothideales,Dothideomycetes,Pezizomycotina,Ascomycota,YES, S  E  EP  O ,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
Aurpu_var_pul1,Aureobasidium pullulans var. pullulans EXF-150,Dothideales,Dothideomycetes,Pezizomycotina,Ascomycota,NO, S  E  EP ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Aurpu_var_sub1,Aureobasidium pullulans var. subglaciale EXF-2481,Dothideales,Dothideomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Bauco1,Baudoinia compniacensis UAMH 10762 (4089826) v1.0,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Botdo1_1,Botryosphaeria dothidea,Botryosphaeriales,Dothideomycetes,Pezizomycotina,Ascomycota,YES, S  E  N  O ,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO
Cenge3,Cenococcum geophilum 1.58 v2.0,Mytilinidiales,Dothideomycetes,Pezizomycotina,Ascomycota,NO, ECM ,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cerzm1,Cercospora zeae-maydis v1.0,Mycosphaerellales,Dothideomycetes,Pezizomycotina,Ascomycota,YES, HB ,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO
Clafu1,Cladosporium fulvum v1.0,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota,YES, S  B ,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO
Cloaq1,Clohesyomyces aquaticus v1.0,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cocca1,Cochliobolus carbonum 26-R-13 v1.0,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,YES, S  N ,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES
CocheC4_1,Cochliobolus heterostrophus C4 v1.0,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,YES, N ,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO
