Genome        DMAT        HYBRID        NRPS        NRPS-Like        PKS        PKS-Like        TC        Total
Achaetomium strumarium CBS333.67 v1.0        0        2        5        1        14        2        6        30
Acidothrix acidophila CBS 136259 v1.0        1        2        2        8        4        2        2        21
Acremonium alcalophilum v2.0        1        3        6        6        11        2        0        29
Acremonium chrysogenum ATCC 11550        3        2        7        4        18        2        2        38
Acremonium strictum DS1bioAY4a v1.0        1        2        3        12        11        3        3        35
Anthostoma avocetta NRRL 3190 v1.0        9        7        14        17        48        6        17        118
Apiosordaria backusii CBS 540.89 v1.0        3        1        5        6        10        2        2        29
Apiospora montagnei NRRL 25634 v1.0        2        6        11        10        36        4        7        76
Apodospora peruviana CBS 118394 v1.0        1        3        12        5        16        3        5        45
Beauveria bassiana ARSEF 2860        0        3        12        10        11        3        2        41
Biscogniauxia nummularia v1.0        1        2        5        10        25        4        10        57
Boliniaceae sp. AZ0804 v1.0        1        3        5        15        22        4        3        53
Bombardia bombarda SMH3391-2 v1.0        5        3        4        7        18        4        3        44
Calosphaeria pulchella        0        2        3        10        21        2        1        39
Cercophora caudata CBS 606.72 v1.0        1        2        6        2        12        2        9        34
Cercophora newfieldiana SMH2532-1 v1.0        0        2        4        4        9        2        9        30
Cercophora scortea SMH4131-1 v1.0        0        1        3        8        21        3        3        39
Chaetomidium fimeti CBS 168.71 v1.0        0        6        9        4        22        4        2        47
Chaetomium globosum v1.0        1        3        10        3        17        4        3        41
Chaetosphaeria innumera                                                                0
Cladorrhinum bulbillosum DJ3 v1.0        1        3        7        5        21        3        3        43
Clonostachys rosea CBS125111 v1.0        2        4        16        17        30        2        4        75
Colletotrichum abscissum IMI 504890        6        3        9        10        18        2        9        57
Colletotrichum acutatum CBS 112980 v2.0        5        3        7        11        17        2        8        53
Colletotrichum caudatum CBS131602 v1.0        8        3        12        7        22        4        4        60
Colletotrichum cereale CBS 129662 v1.0        7        2        9        8        33        5        4        68
Colletotrichum chlorophyti NTL11                                                                0
Colletotrichum costaricense IMI 309622        5        3        9        10        18        2        9        56
Colletotrichum cuscutae IMI 304802        5        2        7        13        13        4        7        51
Colletotrichum eremochloae CBS129661 v1.0        8        2        9        10        29        5        6        69
Colletotrichum falcatum MAFF306170 v1.0        6        3        7        9        23        4        4        56
Colletotrichum fioriniae PJ7        5        3        7        9        20        3        8        55
Colletotrichum godetiae CBS 193.32 v1.0        7        2        8        8        19        3        8        55
Colletotrichum graminicola M1.001        7        4        4        9        33        1        3        61
Colletotrichum higginsianum IMI 349063        7        4        12        11        28        5        6        73
Colletotrichum incanum MAFF 238712        7        0        16        9        24        3        3        62
Colletotrichum lupini CBS 109225 v1.0        6        5        8        11        18        2        8        58
Colletotrichum lupini IMI 504893        6        4        10        10        18        3        8        59
Colletotrichum melonis CBS 134730        5        4        8        10        18        2        8        55
Colletotrichum navitas CBS125086 v1.0        7        2        11        8        31        6        4        69
Colletotrichum nymphaeae SA-01        5        3        8        9        22        2        7        56
Colletotrichum orbiculare 104-T        6        3        9        10        20        3        4        55
Colletotrichum orchidophilum IMI 309357        5        2        9        9        16        2        4        47
Colletotrichum paranaense IMI 384185        5        4        8        11        17        2        7        54
Colletotrichum phormii CBS102054 v1.0        8        3        12        7        17        3        8        58
Colletotrichum salicis CBS607.94        7        2        9        7        16        2        6        49
Colletotrichum simmondsii CBS122122        5        4        10        9        21        2        8        59
Colletotrichum somersetensis CBS 131599 v1.0        7        4        10        11        26        2        3        63
Colletotrichum sp. CBS 101611        5        4        8        10        19        2        9        57
Colletotrichum sublineola CBS 131301 v1.0        7        6        8        8        26        3        6        64
Colletotrichum tamarilloi CBS 129955        5        4        9        10        17        3        8        56
Colletotrichum tofieldiae 0861        11        1        12        9        25        2        4        64
Colletotrichum tofieldiae CBS 168.49        10        1        10        7        23        3        5        59
Colletotrichum zoysiae MAFF235873 v1.0        8        3        9        7        27        4        5        63
Coniella lustricola B22-T-1 v1.0        0        2        3        10        14        3        1        33
Coniochaeta ligniaria CBS 111746        0        0        4        4        14        3        3        28
Coniochaeta ligniaria NRRL 30616 v1.0        0        1        4        4        15        2        2        28
Coniochaeta sp. 2T2.1 v1.0        1        4        12        9        31        5        4        66
Coniochaeta sp. PMI_546 v1.0        0        1        7        3        10        2        2        25
Cordyceps militaris CM01        1        2        5        10        9        4        1        32
Corollospora maritima CBS 119819 v2.0        0        1        5        2        10        2        1        21
Cryphonectria parasitica EP155 v2.0        2        4        5        9        18        4        4        46
Cryptodiaporthe populea CFL2025 v1.0        5        4        9        8        28        2        4        60
Cryptodiaporthe sp. AZ0812 v1.0        5        5        9        17        15        3        3        57
Cylindrocarpon olidum MPI-CAGE-CH-0241 v1.0        1        5        8        12        15        4        5        50
Cytospora chrysosperma CFL2056 v1.0        2        3        6        8        17        4        4        44
Dactylonectria estremocensis MPI-CAGE-AT-0021 v1.0        1        3        8        10        12        4        2        40
Dactylonectria macrodidyma MPI-CAGE-AT-0147 v1.0        2        5        7        11        16        4        5        50
Daldinia eschscholzii EC12 v1.0        2        1        6        11        23        3        6        52
Diaporthe ampelina UCDDA912        5        3        4        14        24        5        4        59
Entoleuca mammata CFL468 v1.0        1        3        8        9        25        3        4        53
Eutypa lata UCREL1        5        2        6        14        27        8        2        64
Fusarium commune MPI-SDFR-AT-0072 v1.0        3        3        8        13        12        3        8        50
Fusarium equiseti MPI-CAGE-AA-0113 v1.0        1        1        10        8        9        2        4        35
Fusarium fujikuroi IMI 58289        2        4        7        13        11        3        7        47
Fusarium graminearum v1.0        0        1        9        11        8        3        5        37
Fusarium oxysporum MPI-CAGE-CH-0212 v1.0        3        3        9        12        10        2        6        45
Fusarium oxysporum MPI-SDFR-AT-0094 v1.0        3        3        10        13        8        3        8        48
Fusarium oxysporum f. sp. lycopersici 4287 v2        3        2        9        14        10        1        7        46
Fusarium pseudograminearum CS3096        0        1        7        10        6        4        5        33
Fusarium redolens MPI-CAGE-AT-0023 v1.0        4        3        10        11        13        2        6        49
Fusarium solani MPI-SDFR-AT-0091 v1.0        2        1        11        8        13        2        1        38
Fusarium tricinctum MPI-SDFR-AT-0044 v1.0        3        3        11        13        14        3        6        53
Fusarium tricinctum MPI-SDFR-AT-0068 v1.0        4        3        10        13        13        3        5        51
Fusarium venenatum MPI-CAGE-CH-0201 v1.0        0        2        4        11        8        2        5        32
